user_id,event_type,event_timestamp,feature
561,purchase,2026-04-22 13:45:15.378550,cart
734,login,2026-04-23 18:14:15.378550,product_page
555,signup,2026-04-22 09:06:15.378550,checkout
922,login,2026-04-25 10:46:15.378550,search
532,login,2026-03-30 06:48:15.378550,search
742,signup,2026-04-22 01:45:15.378550,home
28,login,2026-04-13 12:12:15.378550,home
274,purchase,2026-04-05 01:15:15.378550,cart
219,login,2026-04-01 03:55:15.378550,checkout
892,login,2026-04-22 07:57:15.378550,search
442,login,2026-04-16 05:52:15.378550,checkout
649,login,2026-04-05 10:50:15.378550,product_page
949,login,2026-03-30 03:39:15.378550,home
913,login,2026-04-11 08:27:15.378550,product_page
390,login,2026-04-10 01:55:15.378550,search
73,purchase,2026-04-12 15:06:15.378550,search
914,login,2026-03-28 14:51:15.378550,cart
136,login,2026-04-15 09:39:15.378550,product_page
596,login,2026-04-08 06:52:15.378550,home
855,login,2026-04-19 06:44:15.378550,checkout
986,login,2026-03-31 15:10:15.378550,home
753,login,2026-04-04 14:31:15.378550,search
178,login,2026-04-10 03:08:15.378550,product_page
913,login,2026-04-19 01:25:15.378550,home
470,login,2026-04-20 04:22:15.378550,home
114,signup,2026-04-22 02:18:15.378550,search
570,login,2026-04-10 21:51:15.378550,home
699,login,2026-04-23 22:12:15.378550,home
796,purchase,2026-04-19 10:23:15.378550,product_page
645,login,2026-04-06 10:26:15.378550,cart
686,login,2026-04-13 12:09:15.378550,checkout
665,login,2026-04-12 00:42:15.378550,product_page
104,login,2026-04-08 02:47:15.378550,checkout
389,purchase,2026-03-28 16:04:15.378550,cart
155,signup,2026-04-25 23:37:15.378550,checkout
154,purchase,2026-04-24 05:33:15.378550,checkout
211,login,2026-04-17 03:46:15.378550,product_page
100,login,2026-04-19 23:17:15.378550,search
710,login,2026-04-02 13:40:15.378550,product_page
375,purchase,2026-04-17 13:25:15.378550,product_page
991,login,2026-04-09 17:33:15.378550,checkout
994,login,2026-04-24 07:56:15.378550,cart
351,login,2026-04-04 19:55:15.378550,cart
13,login,2026-03-31 09:59:15.378550,home
928,purchase,2026-04-02 17:37:15.378550,home
115,purchase,2026-04-13 10:43:15.378550,checkout
709,login,2026-03-31 19:25:15.378550,checkout
282,login,2026-04-06 04:01:15.378550,home
329,login,2026-04-23 12:43:15.378550,search
660,login,2026-04-01 12:23:15.378550,product_page
980,login,2026-04-24 14:38:15.378550,product_page
417,login,2026-03-31 08:43:15.378550,product_page
16,login,2026-04-13 10:20:15.378550,product_page
548,login,2026-04-02 03:58:15.378550,product_page
159,login,2026-04-13 04:41:15.378550,cart
698,login,2026-03-28 15:37:15.378550,product_page
167,purchase,2026-04-11 13:59:15.378550,cart
319,login,2026-04-16 21:57:15.378550,checkout
739,login,2026-03-30 10:21:15.378550,cart
203,purchase,2026-04-19 19:16:15.378550,cart
202,login,2026-04-16 19:12:15.378550,search
662,login,2026-04-20 18:24:15.378550,home
959,login,2026-04-06 10:52:15.378550,checkout
378,login,2026-04-07 17:14:15.378550,cart
727,purchase,2026-04-13 17:58:15.378550,cart
110,login,2026-04-18 11:39:15.378550,product_page
712,login,2026-04-09 17:23:15.378550,checkout
980,login,2026-03-29 10:00:15.378550,search
181,login,2026-03-30 12:01:15.378550,search
322,purchase,2026-04-20 20:32:15.378550,home
629,login,2026-04-17 19:23:15.378550,checkout
196,signup,2026-04-05 00:58:15.378550,product_page
921,login,2026-04-02 05:29:15.378550,product_page
417,login,2026-04-13 08:17:15.378550,product_page
590,purchase,2026-04-23 09:23:15.378550,home
207,login,2026-04-10 07:41:15.378550,checkout
579,login,2026-04-21 01:13:15.378550,product_page
189,purchase,2026-04-02 12:06:15.378550,checkout
669,login,2026-04-26 01:13:15.378550,checkout
424,login,2026-03-29 07:52:15.378550,cart
368,login,2026-04-07 08:04:15.378550,cart
286,login,2026-03-31 06:08:15.378550,product_page
202,login,2026-04-26 17:18:15.378550,checkout
693,login,2026-04-05 02:26:15.378550,search
874,purchase,2026-04-26 14:30:15.378550,home
68,purchase,2026-04-04 21:03:15.378550,search
668,purchase,2026-04-08 17:54:15.378550,home
247,login,2026-03-29 22:31:15.378550,product_page
392,login,2026-04-16 23:35:15.378550,home
501,login,2026-03-29 12:17:15.378550,checkout
833,login,2026-04-18 02:29:15.378550,home
443,login,2026-03-30 21:33:15.378550,home
98,login,2026-04-18 20:57:15.378550,checkout
150,signup,2026-04-10 07:51:15.378550,checkout
432,login,2026-04-14 23:52:15.378550,product_page
355,login,2026-04-05 00:11:15.378550,cart
419,login,2026-04-18 06:09:15.378550,checkout
711,signup,2026-04-26 10:36:15.378550,checkout
318,login,2026-04-22 01:11:15.378550,search
908,login,2026-04-15 01:52:15.378550,cart
78,login,2026-04-14 12:57:15.378550,cart
958,login,2026-04-13 03:07:15.378550,product_page
811,login,2026-04-18 09:19:15.378550,home
77,login,2026-03-28 07:28:15.378550,search
515,login,2026-04-12 16:44:15.378550,checkout
205,signup,2026-04-15 04:29:15.378550,product_page
956,signup,2026-04-24 16:39:15.378550,search
459,login,2026-04-19 09:32:15.378550,search
338,login,2026-04-03 11:58:15.378550,product_page
398,login,2026-04-11 02:59:15.378550,search
180,login,2026-04-25 02:12:15.378550,product_page
79,login,2026-04-11 16:01:15.378550,search
42,login,2026-03-28 22:33:15.378550,search
495,login,2026-03-31 06:56:15.378550,home
829,login,2026-04-01 23:52:15.378550,cart
447,login,2026-04-21 18:55:15.378550,search
273,login,2026-03-28 10:55:15.378550,checkout
350,signup,2026-04-16 23:05:15.378550,search
742,login,2026-04-19 22:19:15.378550,checkout
800,login,2026-04-24 02:45:15.378550,search
271,login,2026-04-02 11:41:15.378550,home
193,login,2026-04-25 14:46:15.378550,search
565,login,2026-04-07 15:36:15.378550,search
904,login,2026-03-29 21:13:15.378550,checkout
908,login,2026-04-16 17:16:15.378550,product_page
778,login,2026-04-26 06:18:15.378550,search
602,login,2026-04-16 09:37:15.378550,cart
301,purchase,2026-04-01 10:14:15.378550,cart
268,login,2026-04-24 11:12:15.378550,cart
264,login,2026-04-10 17:34:15.378550,cart
709,purchase,2026-04-19 20:48:15.378550,search
117,purchase,2026-04-26 07:03:15.378550,home
459,login,2026-04-24 14:54:15.378550,home
777,login,2026-04-06 11:16:15.378550,checkout
528,purchase,2026-04-02 09:27:15.378550,product_page
866,login,2026-04-08 08:59:15.378550,home
854,login,2026-04-21 02:55:15.378550,checkout
513,login,2026-04-01 08:33:15.378550,search
867,login,2026-03-30 15:27:15.378550,product_page
227,login,2026-04-07 16:30:15.378550,checkout
384,login,2026-04-23 13:38:15.378550,checkout
160,login,2026-04-23 09:58:15.378550,search
345,login,2026-04-03 14:49:15.378550,search
40,purchase,2026-04-07 10:08:15.378550,product_page
995,login,2026-04-22 05:18:15.378550,search
24,login,2026-03-31 12:49:15.378550,home
585,login,2026-04-04 04:57:15.378550,search
704,login,2026-04-18 00:18:15.378550,product_page
46,login,2026-03-29 08:06:15.378550,product_page
361,purchase,2026-04-08 10:06:15.378550,checkout
405,login,2026-04-17 02:37:15.378550,home
143,login,2026-04-19 01:20:15.378550,checkout
602,signup,2026-04-23 07:54:15.378550,product_page
275,signup,2026-04-24 05:33:15.378550,product_page
171,login,2026-04-21 00:05:15.378550,home
27,purchase,2026-04-03 09:04:15.378550,home
489,login,2026-04-17 01:22:15.378550,product_page
952,purchase,2026-04-14 14:46:15.378550,home
563,purchase,2026-04-23 03:23:15.378550,cart
872,login,2026-04-18 14:08:15.378550,search
449,login,2026-04-15 09:22:15.378550,cart
684,purchase,2026-04-25 20:28:15.378550,cart
999,purchase,2026-04-02 02:28:15.378550,product_page
718,login,2026-04-04 11:04:15.378550,product_page
794,purchase,2026-04-14 09:28:15.378550,search
648,purchase,2026-04-12 03:44:15.378550,checkout
59,login,2026-03-28 21:01:15.378550,search
380,purchase,2026-04-25 13:42:15.378550,checkout
239,login,2026-04-16 03:26:15.378550,checkout
824,signup,2026-04-26 03:31:15.378550,home
537,signup,2026-04-06 12:34:15.378550,checkout
138,login,2026-04-11 07:41:15.378550,home
598,login,2026-04-11 17:39:15.378550,checkout
231,login,2026-04-03 17:59:15.378550,home
106,signup,2026-04-17 02:45:15.378550,checkout
531,signup,2026-04-12 13:59:15.378550,product_page
758,purchase,2026-04-08 23:00:15.378550,home
697,login,2026-04-13 10:39:15.378550,product_page
998,purchase,2026-04-03 14:56:15.378550,cart
386,signup,2026-04-21 18:38:15.378550,home
114,login,2026-04-04 11:49:15.378550,search
924,login,2026-04-09 11:48:15.378550,home
360,login,2026-03-29 17:20:15.378550,home
994,login,2026-04-26 05:30:15.378550,search
995,signup,2026-04-22 17:43:15.378550,product_page
901,login,2026-04-25 14:28:15.378550,checkout
894,purchase,2026-04-09 06:18:15.378550,product_page
13,signup,2026-03-31 09:46:15.378550,checkout
365,purchase,2026-03-30 16:30:15.378550,home
896,login,2026-04-13 10:17:15.378550,product_page
766,login,2026-04-23 15:18:15.378550,cart
436,login,2026-04-07 17:55:15.378550,search
33,purchase,2026-04-24 21:56:15.378550,product_page
819,login,2026-03-30 20:32:15.378550,search
652,login,2026-03-29 23:39:15.378550,product_page
813,purchase,2026-04-11 03:53:15.378550,cart
850,login,2026-04-12 10:09:15.378550,cart
286,login,2026-04-21 21:33:15.378550,search
874,purchase,2026-04-02 10:49:15.378550,home
895,login,2026-04-23 18:21:15.378550,checkout
609,login,2026-04-15 13:24:15.378550,home
383,login,2026-04-05 12:04:15.378550,checkout
484,login,2026-04-05 08:51:15.378550,home
783,login,2026-04-12 20:36:15.378550,product_page
993,login,2026-04-05 09:24:15.378550,cart
71,login,2026-04-01 09:18:15.378550,product_page
853,signup,2026-04-09 15:22:15.378550,product_page
770,login,2026-04-04 14:54:15.378550,search
316,login,2026-04-07 12:27:15.378550,cart
14,signup,2026-04-09 13:28:15.378550,product_page
223,signup,2026-04-10 05:53:15.378550,search
750,login,2026-03-28 08:03:15.378550,search
443,login,2026-03-29 15:46:15.378550,search
477,login,2026-04-15 16:06:15.378550,checkout
439,login,2026-04-09 15:11:15.378550,product_page
553,login,2026-04-14 13:45:15.378550,home
198,login,2026-03-30 14:55:15.378550,cart
962,login,2026-04-02 19:11:15.378550,search
618,login,2026-04-15 07:10:15.378550,cart
262,login,2026-04-13 23:00:15.378550,home
201,login,2026-04-17 07:52:15.378550,cart
13,login,2026-04-10 12:01:15.378550,product_page
148,purchase,2026-04-13 06:30:15.378550,product_page
407,purchase,2026-04-18 23:22:15.378550,search
425,login,2026-04-24 15:40:15.378550,home
722,signup,2026-04-26 12:08:15.378550,product_page
469,login,2026-04-14 17:48:15.378550,home
143,login,2026-04-08 09:35:15.378550,home
464,login,2026-04-14 21:17:15.378550,checkout
204,login,2026-04-01 21:23:15.378550,search
269,login,2026-04-19 03:58:15.378550,cart
405,login,2026-04-17 15:56:15.378550,product_page
471,purchase,2026-04-11 08:33:15.378550,checkout
307,login,2026-04-24 00:31:15.378550,checkout
485,login,2026-04-10 21:38:15.378550,search
53,login,2026-04-07 10:02:15.378550,product_page
188,login,2026-04-17 04:04:15.378550,cart
430,login,2026-04-06 06:22:15.378550,search
887,login,2026-04-20 17:59:15.378550,search
339,purchase,2026-04-09 02:21:15.378550,home
603,login,2026-04-06 18:50:15.378550,product_page
152,login,2026-04-05 05:13:15.378550,product_page
284,purchase,2026-03-30 12:28:15.378550,product_page
791,login,2026-04-14 04:49:15.378550,checkout
913,login,2026-04-20 09:46:15.378550,checkout
577,login,2026-04-24 18:44:15.378550,product_page
579,signup,2026-04-01 11:24:15.378550,product_page
751,login,2026-04-16 08:39:15.378550,cart
12,login,2026-04-01 14:39:15.378550,home
222,login,2026-04-04 13:25:15.378550,cart
570,login,2026-04-06 11:23:15.378550,search
865,login,2026-04-11 15:35:15.378550,search
743,purchase,2026-04-13 06:55:15.378550,cart
218,signup,2026-04-17 09:56:15.378550,home
527,login,2026-03-28 16:09:15.378550,cart
20,purchase,2026-04-14 12:53:15.378550,home
933,login,2026-04-13 12:16:15.378550,checkout
1000,purchase,2026-04-06 14:08:15.378550,product_page
73,signup,2026-04-13 00:15:15.378550,search
365,login,2026-04-20 05:52:15.378550,search
540,login,2026-03-30 15:39:15.378550,home
442,signup,2026-04-16 00:42:15.378550,search
911,login,2026-04-22 08:28:15.378550,cart
331,login,2026-04-16 14:08:15.378550,product_page
905,purchase,2026-04-11 03:54:15.378550,product_page
273,signup,2026-03-31 20:27:15.378550,cart
426,login,2026-04-13 19:01:15.378550,product_page
4,login,2026-03-31 08:43:15.378550,search
685,login,2026-04-25 10:28:15.378550,product_page
793,login,2026-03-29 20:19:15.378550,product_page
692,login,2026-03-31 08:35:15.378550,search
335,login,2026-04-15 11:22:15.378550,checkout
241,login,2026-04-19 22:01:15.378550,product_page
64,login,2026-04-15 03:54:15.378550,cart
671,purchase,2026-04-02 22:19:15.378550,home
14,login,2026-04-24 18:51:15.378550,search
816,login,2026-03-28 19:08:15.378550,home
971,login,2026-04-16 23:58:15.378550,product_page
6,login,2026-04-20 17:25:15.378550,product_page
647,login,2026-04-11 19:49:15.378550,home
207,login,2026-04-20 15:52:15.378550,home
900,purchase,2026-04-14 09:29:15.378550,search
91,login,2026-04-01 11:28:15.378550,search
818,login,2026-04-06 02:09:15.378550,checkout
4,purchase,2026-04-21 02:51:15.378550,home
344,login,2026-04-04 14:47:15.378550,cart
869,login,2026-03-31 12:15:15.378550,checkout
743,login,2026-04-19 01:47:15.378550,product_page
331,login,2026-04-03 22:40:15.378550,home
956,login,2026-04-06 13:44:15.378550,cart
45,signup,2026-04-16 02:52:15.378550,home
331,login,2026-04-16 18:55:15.378550,product_page
214,purchase,2026-03-29 23:00:15.378550,product_page
977,signup,2026-04-09 03:22:15.378550,cart
273,login,2026-04-21 10:41:15.378550,product_page
935,login,2026-04-03 01:27:15.378550,home
777,login,2026-04-15 06:22:15.378550,checkout
58,login,2026-03-31 22:01:15.378550,cart
100,login,2026-04-21 19:35:15.378550,checkout
467,login,2026-04-02 18:12:15.378550,product_page
316,purchase,2026-04-01 13:16:15.378550,checkout
962,login,2026-04-06 15:47:15.378550,home
497,purchase,2026-04-19 22:18:15.378550,home
450,signup,2026-03-29 11:34:15.378550,home
848,login,2026-03-30 08:31:15.378550,home
294,login,2026-04-20 06:29:15.378550,checkout
787,login,2026-03-28 19:18:15.378550,product_page
937,login,2026-04-06 23:47:15.378550,search
201,login,2026-04-08 04:17:15.378550,checkout
208,login,2026-04-18 08:56:15.378550,search
366,login,2026-04-23 19:54:15.378550,product_page
967,purchase,2026-04-12 07:55:15.378550,home
597,login,2026-04-18 22:50:15.378550,search
344,signup,2026-03-30 10:23:15.378550,search
274,signup,2026-04-21 03:49:15.378550,product_page
870,login,2026-04-22 11:05:15.378550,checkout
588,login,2026-04-04 12:04:15.378550,product_page
551,login,2026-04-15 14:58:15.378550,checkout
365,login,2026-03-31 07:23:15.378550,search
648,signup,2026-04-20 09:07:15.378550,search
162,purchase,2026-04-02 18:06:15.378550,checkout
706,login,2026-04-16 13:10:15.378550,home
806,login,2026-04-09 22:32:15.378550,product_page
353,purchase,2026-04-21 09:59:15.378550,checkout
202,login,2026-04-08 12:49:15.378550,search
509,login,2026-04-12 18:44:15.378550,product_page
985,signup,2026-04-16 07:33:15.378550,home
2,login,2026-04-23 08:26:15.378550,product_page
581,login,2026-04-12 10:21:15.378550,product_page
32,login,2026-04-10 10:09:15.378550,home
555,purchase,2026-04-08 06:32:15.378550,product_page
301,login,2026-03-28 08:01:15.378550,product_page
509,login,2026-04-02 15:43:15.378550,home
872,login,2026-04-13 22:14:15.378550,checkout
504,login,2026-04-03 09:18:15.378550,product_page
896,signup,2026-04-03 07:49:15.378550,cart
994,login,2026-04-26 09:28:15.378550,search
178,login,2026-04-13 15:31:15.378550,search
